"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"OPERA_L2_RTC-S1_T034-071765-IW3_20240101T005959Z_20240101T114027Z_S1A_30_v1.0","Sentinel-1A","C-SAR","IW","","51906","34","","","2024-01-01T12:17:53Z","RTC","2024-01-01T00:59:59Z","2024-01-01T01:00:02Z","32.42274338447107","74.33641608335516","","","","","","","","","","DESCENDING","https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T034-071765-IW3_20240101T005959Z_20240101T114027Z_S1A_30_v1.0_VH.tif","","","","","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1_071765_IW1_20240101T005957_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T00:59:58Z","2024-01-01T01:00:01Z","32.25646583692309","76.126393633942","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW1/VV/4.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71765","111489079","034_071765_IW1","4","2024-01-01T00:59:57Z","2434.9330378856","21571","IW1"
"S1_071765_IW1_20240101T005957_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T00:59:58Z","2024-01-01T01:00:01Z","32.25646583692309","76.126393633942","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW1/VH/4.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71765","111489079","034_071765_IW1","4","2024-01-01T00:59:57Z","2434.9330378856","21571","IW1"
"S1_071764_IW3_20240101T005956_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T00:59:58Z","2024-01-01T01:00:01Z","32.57539775282404","74.36968855429863","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW3/VV/4.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71764","111489078","034_071764_IW3","4","2024-01-01T00:59:56Z","2434.0738157747","24617","IW3"
"S1_071764_IW3_20240101T005956_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T00:59:58Z","2024-01-01T01:00:01Z","32.57539775282404","74.36968855429863","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW3/VH/4.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71764","111489078","034_071764_IW3","4","2024-01-01T00:59:56Z","2434.0738157747","24617","IW3"
"OPERA_L2_RTC-S1_T034-071765-IW2_20240101T005958Z_20240101T114027Z_S1A_30_v1.0","Sentinel-1A","C-SAR","IW","","51906","34","","","2024-01-01T12:06:46Z","RTC","2024-01-01T00:59:58Z","2024-01-01T01:00:01Z","32.35187493836776","75.21317878800859","","","","","","","","","","DESCENDING","https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T034-071765-IW2_20240101T005958Z_20240101T114027Z_S1A_30_v1.0_VH.tif","","","","","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1_071764_IW2_20240101T005955_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T00:59:56Z","2024-01-01T01:00:00Z","32.50477032294514","75.25066723228237","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW2/VV/3.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71764","111489078","034_071764_IW2","3","2024-01-01T00:59:55Z","2433.1159262184","25482","IW2"
"S1_071764_IW2_20240101T005955_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T00:59:56Z","2024-01-01T01:00:00Z","32.50477032294514","75.25066723228237","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW2/VH/3.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71764","111489078","034_071764_IW2","3","2024-01-01T00:59:55Z","2433.1159262184","25482","IW2"
"OPERA_L2_RTC-S1_T034-071765-IW1_20240101T005957Z_20240101T114027Z_S1A_30_v1.0","Sentinel-1A","C-SAR","IW","","51906","34","","","2024-01-01T11:40:33Z","RTC","2024-01-01T00:59:57Z","2024-01-01T01:00:00Z","32.27244961512266","76.10176921767466","","","","","","","","","","DESCENDING","https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T034-071765-IW1_20240101T005957Z_20240101T114027Z_S1A_30_v1.0_VH.tif","","","","","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"OPERA_L2_RTC-S1_T034-071764-IW3_20240101T005956Z_20240101T114027Z_S1A_30_v1.0","Sentinel-1A","C-SAR","IW","","51906","34","","","2024-01-01T12:13:01Z","RTC","2024-01-01T00:59:56Z","2024-01-01T01:00:00Z","32.5887419153884","74.36983139164647","","","","","","","","","","DESCENDING","https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T034-071764-IW3_20240101T005956Z_20240101T114027Z_S1A_30_v1.0_VH.tif","","","","","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
